_id,name,lat,lon
20606,更別,42.6483,143.19
20631,大津,42.685,143.6467
20556,糠内,42.7867,143.3283
20071,小利別,43.5883,143.68
20331,押帯,43.115,143.4433
20202,柏倉,43.3617,143.4583
20222,上螺湾,43.3183,143.8017
20451,留真,42.9167,143.6617
20551,帯広泉,42.7333,143.2167
20047,三股,43.51,143.1483
21031,安平,42.8133,141.8283
21111,厚真,42.73,141.8883
21126,穂別,42.7617,142.1433
21171,森野,42.63,141.2467
21187,苫小牧,42.6233,141.5467
21226,大岸,42.59,140.6433
21261,白老,42.5433,141.3517
21276,鵡川,42.59,141.9333
21297,伊達,42.4733,140.8767
21312,登別,42.4583,141.1183
21323,室蘭,42.3117,140.975
21161,大滝,42.67,141.0783
21237,洞爺湖温泉,42.565,140.8067
21251,カルルス,42.5167,141.1067
22141,日高門別,42.5217,142.0367
22156,新和,42.5433,142.3333
22206,笹山,42.4333,142.4817
22241,静内,42.3433,142.3617
22327,浦河,42.1617,142.7767
22072,仁世宇,42.7717,142.3583
22291,三石,42.245,142.6617
22036,日高,42.8767,142.4417
22366,幌満,42.0767,143.035
22356,目黒,42.1267,143.3133
22306,中杵臼,42.2233,142.9483
22391,えりも岬,41.925,143.2433
22106,旭,42.6283,142.3933
23031,長万部,42.5233,140.3817
23086,八雲,42.2517,140.2717
23166,森,42.0667,140.5883
23191,大沼,41.9767,140.715
23206,川汲,41.905,140.97
23226,北斗,41.8867,140.6533
23232,函館,41.8167,140.7533
23376,松前,41.4233,140.0867
23326,木古内,41.6867,140.445
23356,千軒,41.5583,140.2717
23281,高松,41.77,140.8217
23291,戸井泊,41.7167,141.0033
23321,知内,41.5983,140.375
24141,熊石,42.1283,139.985
24041,せたな,42.45,139.8517
24051,今金,42.4283,140.0083
24166,潮見,42.0383,140.0883
24217,江差,41.8667,140.1233
24101,奥尻,42.2483,139.5567
24201,鶉,41.93,140.3117
24236,石崎,41.7,140.0283
24156,米岡,42.0717,139.4317
31111,むつ,41.2833,141.21
31201,蟹田,41.045,140.6333
31312,青森,40.8217,140.7683
31332,野辺地,40.885,141.16
31366,鰺ケ沢,40.7767,140.205
31296,五所川原,40.8083,140.4583
31436,深浦,40.645,139.9317
31461,弘前,40.6117,140.455
31466,黒石,40.6667,140.585
31506,三沢,40.675,141.375
31586,十和田,40.595,141.2467
31602,八戸,40.5267,141.5217
31551,大鰐,40.53,140.555
31646,碇ケ関,40.4817,140.62
31662,休屋,40.4267,140.8983
31721,三戸,40.3833,141.2567
31136,今別,41.18,140.4817
31336,六ケ所,40.885,141.2717
31001,大間,41.5267,140.9117
31321,大和山,40.8483,140.985
31482,酸ケ湯,40.6483,140.8483
31451,岳,40.6283,140.2633
31186,市浦,41.0567,140.3467
31121,小田野沢,41.235,141.3967
31156,脇野沢,41.145,140.8217
31411,七戸,40.7083,141.1283
31671,戸来,40.4683,141.1767
31562,温川,40.515,140.7833
31386,青森大谷,40.7333,140.6883
31036,湯野川,41.3133,140.9567
32091,陣場,40.4033,140.6083
32111,能代,40.1983,140.0317
32126,鷹巣,40.2267,140.3717
32146,鹿角,40.215,140.7867
32206,湯瀬,40.12,140.84
32296,五城目,39.9383,140.115
32402,秋田,39.7167,140.0983
32407,岩見三内,39.7067,140.2867
32466,角館,39.6033,140.5567
32476,田沢湖,39.6983,140.7317
32551,大曲,39.49,140.495
32571,本荘,39.36,140.055
32596,横手,39.32,140.555
32616,象潟,39.2217,139.9017
32626,矢島,39.235,140.1367
32691,湯沢,39.1867,140.4633
32771,湯の岱,38.96,140.5283
32136,大館,40.2517,140.505
32287,大潟,40,139.95
32286,男鹿,39.9117,139.9
32056,八森,40.3883,139.9817
32496,大正寺,39.5267,140.2333
32701,東成瀬,39.1783,140.6483
32312,比立内,39.9033,140.45
32581,東由利,39.305,140.2883
32311,阿仁合,39.9933,140.4033
32426,鎧畑,39.775,140.665
32071,藤里,40.32,140.2933
32376,桧木内,39.8117,140.585
32266,八幡平,40.0133,140.8017
32681,笹子,39.1033,140.2933
32096,藤原,40.355,140.7817
32276,男鹿真山,39.9383,139.7817
32408,仁別,39.8,140.2167
32181,脇神,40.1917,140.3717
32451,雄和,39.615,140.2183
33006,種市,40.4033,141.7
33026,軽米,40.3183,141.47
33071,二戸,40.2967,141.2983
33146,久慈,40.1883,141.775
33186,葛巻,40.0383,141.4367
33226,岩手松尾,39.9517,141.065
33326,岩泉,39.8467,141.7967
33421,雫石,39.6967,140.975
33431,盛岡,39.6983,141.165
33472,宮古,39.6467,141.965
33566,豊沢,39.48,140.9683
33576,花巻,39.4283,141.135
33581,大迫,39.47,141.2783
33631,湯田,39.31,140.7767
33716,北上,39.2883,141.11
33671,遠野,39.3367,141.5383
33751,釜石,39.27,141.8783
33776,若柳,39.1317,141.0633
33781,江刺,39.1833,141.1617
33877,大船渡,39.0633,141.7133
33911,一関,38.9333,141.125
33921,千厩,38.9217,141.33
33831,祭畤,39.01,140.865
33296,好摩,39.8683,141.1667
33616,山田,39.45,141.9567
33086,大野,40.28,141.6667
33841,衣川,39.05,141.045
33371,薮川,39.7833,141.3283
33726,米里,39.2333,141.31
33561,沢内,39.48,140.7983
33166,荒屋,40.1033,141.05
33206,普代,40.0033,141.8833
33501,紫波,39.5467,141.1267
33351,葛根田,39.775,140.945
33801,住田,39.1417,141.5733
33336,小本,39.84,141.955
33176,奥中山,40.06,141.225
33136,山形,40.1483,141.5717
33526,川井,39.5983,141.6817
33201,下戸鎖,40.0833,141.7117
33441,区界,39.65,141.3533
33611,大槌,39.4383,141.8067
33856,大東,39.0383,141.2967
33711,金ヶ崎,39.225,141.015
33361,滝沢,39.78,141.0967
33596,附馬牛,39.4567,141.5067
33461,刈屋,39.6417,141.7733
33686,小鎚,39.36,141.8783
33871,陸前高田,39.025,141.63
34026,気仙沼,38.9083,141.555
34096,川渡,38.7433,140.76
34111,築館,38.735,141.005
34186,志津川,38.6817,141.4483
34216,古川,38.5983,140.9117
34266,大衡,38.4733,140.8883
34276,鹿島台,38.46,141.0917
34292,石巻,38.4267,141.2983
34311,新川,38.3033,140.6367
34392,仙台,38.2617,140.8967
34461,白石,38.015,140.6117
34471,亘理,38.025,140.8583
34241,雄勝,38.5217,141.47
34171,米山,38.6267,141.1883
34331,塩釜,38.3383,141.0133
34012,駒ノ湯,38.9133,140.8283
34506,丸森,37.9317,140.7783
34361,江ノ島,38.3983,141.5967
34526,筆甫,37.8267,140.7283
34262,泉ケ岳,38.4067,140.7217
34436,名取,38.1383,140.9167
34056,鴬沢,38.805,140.9483
34206,加美,38.5717,140.7267
34462,蔵王,38.1267,140.68
34296,女川,38.4533,141.44
34231,桃生,38.56,141.245
34286,東松島,38.4267,141.2133
34431,岩沼,38.1067,140.8767
35052,酒田,38.9083,139.8433
35071,差首鍋,38.9183,140.2
35116,金山,38.8783,140.3317
35141,鶴岡,38.735,139.8283
35146,狩川,38.8,139.9733
35162,新庄,38.7567,140.3117
35171,瀬見,38.755,140.4133
35201,櫛引,38.6717,139.8483
35376,左沢,38.37,140.1917
35426,山形,38.255,140.345
35456,長井,38.105,140.015
35486,小国,38.0783,139.735
35541,高峰,37.9983,139.9567
35552,米沢,37.9117,140.1433
35176,向町,38.7583,140.5167
35061,上草津,38.995,140.0283
35231,尾花沢,38.6083,140.4117
35246,鼠ケ関,38.5667,139.5517
35216,肘折,38.6067,140.1633
35511,高畠,38.0033,140.2067
35002,飛島,39.1833,139.5433
35361,大井沢,38.39,139.9933
35256,荒沢,38.5067,139.7817
35537,中津川,37.91,139.8433
35086,浜中,38.8117,139.7867
35334,東根,38.4117,140.37
35332,村山,38.46,140.3483
35466,上山中山,38.1167,140.2133
36411,浪江,37.4917,140.965
36591,小野新町,37.2867,140.625
36611,広野,37.2333,141
36501,川内,37.3367,140.8083
36151,相馬,37.7833,140.925
36476,郡山,37.3683,140.33
36066,梁川,37.8517,140.5883
36126,福島,37.7583,140.47
36176,喜多方,37.6583,139.8633
36231,原町,37.6383,140.985
36276,猪苗代,37.555,140.1217
36291,二本松,37.5833,140.43
36361,若松,37.4883,139.91
36391,船引,37.435,140.5767
36426,只見,37.3433,139.3133
36511,富岡,37.3467,141.0167
36536,南郷,37.265,139.5367
36641,田島,37.2067,139.795
36667,白河,37.1317,140.215
36676,石川,37.1467,140.46
36781,平,37.065,140.8767
36821,東白川,36.9383,140.4083
36846,小名浜,36.9467,140.9033
36251,西会津,37.5883,139.6567
36342,金山,37.4733,139.5283
36196,鷲倉,37.6683,140.26
36221,飯舘,37.695,140.7467
36307,津島,37.56,140.7533
36571,長沼,37.2883,140.2183
36726,舘岩,37.0917,139.5317
36596,川前,37.2067,140.75
36106,桧原,37.7217,140.0583
36056,茂庭,37.8917,140.4367
36562,湯本,37.2767,140.0633
36716,桧枝岐,37.0233,139.3867
36461,湖南,37.3883,140.09
36581,玉川,37.2267,140.4267
36836,山田,36.9333,140.7333
