,_id,Date,precip,Unnamed: 0,name,lat,lon,text
0,11001,2019-8-22 15:40,0.0,9.0,宗谷岬,45.52,141.935,宗谷岬:  0.0mm
1,11016,2019-8-22 15:40,0.0,0.0,稚内,45.415,141.6783,稚内:  0.0mm
2,11046,2019-8-22 15:40,0.0,13.0,礼文,45.305,141.045,礼文:  0.0mm
3,11061,2019-8-22 15:40,0.0,12.0,声問,45.4033,141.8,声問:  0.0mm
4,11076,2019-8-22 15:40,0.0,10.0,浜鬼志別,45.335,142.17,浜鬼志別:  0.0mm
5,11091,2019-8-22 15:40,0.0,11.0,本泊,45.2417,141.1867,本泊:  0.0mm
6,11121,2019-8-22 15:40,0.0,7.0,沼川,45.2483,141.8517,沼川:  0.0mm
7,11151,2019-8-22 15:40,0.0,1.0,沓形,45.1767,141.1383,沓形:  0.0mm
8,11176,2019-8-22 15:40,0.0,6.0,豊富,45.1067,141.765,豊富:  0.0mm
9,11206,2019-8-22 15:40,0.0,2.0,浜頓別,45.125,142.35,浜頓別:  0.0mm
10,11276,2019-8-22 15:40,0.0,5.0,中頓別,44.965,142.28,中頓別:  0.0mm
11,11291,2019-8-22 15:40,0.0,3.0,北見枝幸,44.94,142.585,北見枝幸:  0.0mm
12,11316,2019-8-22 15:40,0.0,4.0,歌登,44.84,142.48,歌登:  0.0mm
13,13011,2019-8-22 15:40,0.0,15.0,幌延,45.0067,141.8517,幌延:  0.0mm
14,12011,2019-8-22 15:40,0.0,46.0,中川,44.8283,142.0767,中川:  0.0mm
15,12041,2019-8-22 15:40,0.0,45.0,音威子府,44.7267,142.265,音威子府:  0.0mm
16,12066,2019-8-22 15:40,0.0,49.0,小車,44.6083,142.295,小車:  0.0mm
17,12141,2019-8-22 15:40,0.0,16.0,美深,44.48,142.3417,美深:  0.0mm
18,12181,2019-8-22 15:40,0.0,18.0,名寄,44.37,142.4567,名寄:  0.0mm
19,12217,2019-8-22 15:40,0.0,19.0,西風連,44.295,142.3583,西風連:  0.0mm
20,12231,2019-8-22 15:40,1.5,20.0,下川,44.3017,142.6233,下川:  1.5mm
21,12256,2019-8-22 15:40,0.0,50.0,剣淵,44.1067,142.3533,剣淵:  0.0mm
22,12261,2019-8-22 15:40,0.0,21.0,士別,44.1867,142.4167,士別:  0.0mm
23,12266,2019-8-22 15:40,0.0,34.0,朝日,44.1183,142.595,朝日:  0.0mm
24,12301,2019-8-22 15:40,0.0,38.0,和寒,44.0283,142.41,和寒:  0.0mm
25,12386,2019-8-22 15:40,0.0,44.0,江丹別,43.87,142.26,江丹別:  0.0mm
26,12396,2019-8-22 15:40,0.0,35.0,比布,43.875,142.48,比布:  0.0mm
27,12411,2019-8-22 15:40,0.0,25.0,上川,43.8467,142.7533,上川:  0.0mm
28,12442,2019-8-22 15:40,0.0,26.0,旭川,43.7567,142.3717,旭川:  0.0mm
29,12451,2019-8-22 15:40,0.0,39.0,東川,43.7017,142.5083,東川:  0.0mm
30,12457,2019-8-22 15:40,0.0,27.0,瑞穂,43.7367,142.6383,瑞穂:  0.0mm
31,12471,2019-8-22 15:40,0.0,36.0,層雲峡,43.7533,142.93,層雲峡:  0.0mm
32,12501,2019-8-22 15:40,0.0,48.0,東神楽,43.67,142.4467,東神楽:  0.0mm
33,12512,2019-8-22 15:40,0.0,40.0,志比内,43.6433,142.5817,志比内:  0.0mm
34,12551,2019-8-22 15:40,0.0,37.0,美瑛,43.5883,142.4933,美瑛:  0.0mm
35,12596,2019-8-22 15:40,0.0,43.0,上富良野,43.455,142.465,上富良野:  0.0mm
36,12607,2019-8-22 15:40,0.0,30.0,白金,43.475,142.6483,白金:  0.0mm
37,12626,2019-8-22 15:40,0.0,31.0,富良野,43.3333,142.4,富良野:  0.0mm
38,12632,2019-8-22 15:40,0.0,47.0,麓郷,43.3017,142.5217,麓郷:  0.0mm
39,12686,2019-8-22 15:40,0.0,51.0,金山,43.1383,142.4167,金山:  0.0mm
40,12691,2019-8-22 15:40,0.0,41.0,幾寅,43.1683,142.5683,幾寅:  0.0mm
41,12746,2019-8-22 15:40,0.0,42.0,占冠,42.9783,142.395,占冠:  0.0mm
42,15041,2019-8-22 15:40,0.0,53.0,朱鞠内,44.2817,142.1617,朱鞠内:  0.0mm
43,15076,2019-8-22 15:40,0.0,52.0,幌加内,44.01,142.16,幌加内:  0.0mm
44,13061,2019-8-22 15:40,0.0,54.0,天塩,44.8933,141.7617,天塩:  0.0mm
45,13086,2019-8-22 15:40,0.0,55.0,遠別,44.7183,141.8067,遠別:  0.0mm
46,13121,2019-8-22 15:40,0.0,61.0,初山別,44.5233,141.77,初山別:  0.0mm
47,13146,2019-8-22 15:40,0.0,60.0,焼尻,44.4283,141.4217,焼尻:  0.0mm
48,13181,2019-8-22 15:40,0.0,56.0,羽幌,44.3633,141.7,羽幌:  0.0mm
49,13206,2019-8-22 15:40,0.0,59.0,古丹別,44.265,141.7217,古丹別:  0.0mm
50,13261,2019-8-22 15:40,0.0,62.0,達布,44.0483,141.8567,達布:  0.0mm
51,13277,2019-8-22 15:40,0.0,57.0,留萌,43.945,141.6317,留萌:  0.0mm
52,13311,2019-8-22 15:40,0.0,58.0,増毛,43.8483,141.51,増毛:  0.0mm
53,13321,2019-8-22 15:40,0.0,63.0,幌糠,43.8533,141.76,幌糠:  0.0mm
54,14026,2019-8-22 15:40,0.0,75.0,浜益,43.5817,141.3867,浜益:  0.0mm
55,14071,2019-8-22 15:40,0.0,76.0,厚田,43.3983,141.4367,厚田:  0.0mm
